epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.61277,2.82377,5.5202,2.08383,0.00067,0.25,0.00053,0.00026,1.4606,4.49396,1.54621,2e-05,2e-05,2e-05
2,9.08772,1.91106,4.79952,1.90627,0.00067,0.25,0.00052,0.00021,1.38042,4.33483,1.52101,5.8812e-05,5.8812e-05,5.8812e-05
3,9.41486,1.86073,4.78509,1.85698,0.00067,0.25,0.00051,0.00038,1.38665,4.33098,1.52624,9.604e-05,9.604e-05,9.604e-05
4,9.92806,1.50724,4.62598,1.6554,0.00133,0.5,0.00119,0.00081,1.11965,4.29709,1.37279,0.000131684,0.000131684,0.000131684
5,10.4496,1.75728,5.19853,1.79399,0.00133,0.5,0.00114,0.00073,1.16938,4.28582,1.39678,0.000165744,0.000165744,0.000165744
6,10.7769,2.21802,5.48534,1.97322,0.00133,0.5,0.00114,0.00073,1.16938,4.28582,1.39678,0.00019822,0.00019822,0.00019822
7,11.1079,1.57711,4.50692,2.01416,0.00133,0.5,0.00557,0.0025,0.88484,4.1868,1.22767,0.000229112,0.000229112,0.000229112
8,11.6232,1.10128,4.4332,1.39912,0.002,0.75,0.00819,0.00523,0.61057,3.99749,1.02962,0.00025842,0.00025842,0.00025842
9,12.1348,0.55649,4.08327,0.9003,0.002,0.75,0.00819,0.00523,0.61057,3.99749,1.02962,0.000286144,0.000286144,0.000286144
10,12.6713,2.08092,4.76161,1.39619,0.002,0.75,0.04698,0.02124,0.66014,3.9228,0.94208,0.000312284,0.000312284,0.000312284
11,13.1837,0.54667,5.3907,0.58152,0.002,0.75,0.04698,0.02124,0.66014,3.9228,0.94208,0.00033684,0.00033684,0.00033684
12,13.7062,0.82969,3.86292,0.92947,0.00267,1,0.30953,0.16423,0.66005,3.77727,0.9018,0.000359812,0.000359812,0.000359812
13,14.2024,1.20203,4.08147,1.10006,0.00267,1,0.30953,0.16423,0.66005,3.77727,0.9018,0.0003812,0.0003812,0.0003812
14,14.7124,1.09226,2.88361,1.00071,0.00267,1,0.30953,0.16423,0.66005,3.77727,0.9018,0.000401004,0.000401004,0.000401004
15,15.2227,0.91816,3.17954,1.04345,0.00267,1,0.41366,0.35551,0.53898,3.40466,0.81387,0.000419224,0.000419224,0.000419224
16,15.7387,0.83177,2.56289,1.01437,0.00267,1,0.41366,0.35551,0.53898,3.40466,0.81387,0.00043586,0.00043586,0.00043586
17,20.1151,0.80543,2.30225,0.92196,0.00267,1,0.41366,0.35551,0.53898,3.40466,0.81387,0.000450912,0.000450912,0.000450912
18,20.6198,0.88262,2.53198,0.98659,0.00267,1,0.33054,0.28902,0.60786,3.26214,0.82014,0.00046438,0.00046438,0.00046438
19,20.9573,0.729,3.04,1.09078,0.00267,1,0.33054,0.28902,0.60786,3.26214,0.82014,0.000476264,0.000476264,0.000476264
20,21.2834,1.15661,2.45311,1.01826,0.00267,1,0.33054,0.28902,0.60786,3.26214,0.82014,0.000486564,0.000486564,0.000486564
21,21.6205,0.93298,2.09494,1.02828,0.00267,1,0.75409,0.61466,0.64864,3.09141,0.86182,0.00049528,0.00049528,0.00049528
22,22.1375,1.08831,2.57098,0.89924,0.00267,1,0.75409,0.61466,0.64864,3.09141,0.86182,0.000502412,0.000502412,0.000502412
23,22.6481,0.78499,1.51345,0.94157,0.00267,1,0.75409,0.61466,0.64864,3.09141,0.86182,0.00050796,0.00050796,0.00050796
24,23.1664,0.74384,2.95236,0.96018,0.00267,1,0.75409,0.61466,0.64864,3.09141,0.86182,0.000511924,0.000511924,0.000511924
25,23.8437,0.77099,2.51404,0.91478,0.00267,1,0.74632,0.646,0.71112,3.18149,0.88722,0.000514304,0.000514304,0.000514304
26,24.353,0.74319,1.97792,0.93836,0.00267,1,0.74632,0.646,0.71112,3.18149,0.88722,0.0005151,0.0005151,0.0005151
27,24.8768,1.38079,2.67112,1.53599,0.00267,1,0.74632,0.646,0.71112,3.18149,0.88722,0.000514312,0.000514312,0.000514312
28,25.401,0.5933,1.67087,0.85366,0.00267,1,0.74632,0.646,0.71112,3.18149,0.88722,0.00051194,0.00051194,0.00051194
29,27.1172,0.90959,1.98434,0.95436,0.00267,1,0.74632,0.646,0.71112,3.18149,0.88722,0.000507984,0.000507984,0.000507984
30,27.646,0.97903,1.83934,0.95239,0.00267,1,0.68382,0.58409,0.7006,3.18221,0.86342,0.000502444,0.000502444,0.000502444
31,27.9768,0.72212,1.37367,0.97085,0.00267,1,0.68382,0.58409,0.7006,3.18221,0.86342,0.00049532,0.00049532,0.00049532
32,28.2972,1.0414,3.56675,1.15627,0.00267,1,0.68382,0.58409,0.7006,3.18221,0.86342,0.000486612,0.000486612,0.000486612
33,32.6635,0.46817,1.99936,0.69745,0.00267,1,0.68382,0.58409,0.7006,3.18221,0.86342,0.00047632,0.00047632,0.00047632
34,33.0401,0.72642,2.53858,1.02206,0.00267,1,0.68382,0.58409,0.7006,3.18221,0.86342,0.000464444,0.000464444,0.000464444
35,33.3667,0.47514,5.44762,0.47915,0.00267,1,0.68382,0.58409,0.7006,3.18221,0.86342,0.000450984,0.000450984,0.000450984
36,33.7198,1.20115,2.25267,0.88539,0.00267,1,0.74782,0.64754,0.63429,3.16707,0.88641,0.00043594,0.00043594,0.00043594
37,34.5343,0.72894,2.73767,0.93735,0.00267,1,0.74782,0.64754,0.63429,3.16707,0.88641,0.000419312,0.000419312,0.000419312
38,35.0515,0.65597,2.84419,0.9247,0.00267,1,0.74782,0.64754,0.63429,3.16707,0.88641,0.0004011,0.0004011,0.0004011
39,35.5766,1.0127,2.23956,0.95287,0.00267,1,0.74782,0.64754,0.63429,3.16707,0.88641,0.000381304,0.000381304,0.000381304
40,36.0929,0.74059,2.54572,1.068,0.00267,1,0.74782,0.64754,0.63429,3.16707,0.88641,0.000359924,0.000359924,0.000359924
41,48.7709,1.07313,3.97,1.00766,0.00267,1,0.74782,0.64754,0.63429,3.16707,0.88641,0.00033696,0.00033696,0.00033696
42,49.2934,1.0605,2.5691,1.02325,0.00267,1,0.74782,0.64754,0.63429,3.16707,0.88641,0.000312412,0.000312412,0.000312412
43,49.8132,1.4743,3.85482,0.93618,0.09758,1,0.995,0.87053,0.60644,2.89831,0.9014,0.00028628,0.00028628,0.00028628
44,50.3235,0.65754,2.11961,0.73994,0.09758,1,0.995,0.87053,0.60644,2.89831,0.9014,0.000258564,0.000258564,0.000258564
45,51.467,0.71378,2.66817,0.91059,0.09758,1,0.995,0.87053,0.60644,2.89831,0.9014,0.000229264,0.000229264,0.000229264
46,54.2061,0.82555,2.6144,0.85489,0.09758,1,0.995,0.87053,0.60644,2.89831,0.9014,0.00019838,0.00019838,0.00019838
47,54.7414,0.606,2.39206,0.86824,0.09758,1,0.995,0.87053,0.60644,2.89831,0.9014,0.000165912,0.000165912,0.000165912
48,55.2568,0.46992,2.32497,0.87128,0.09758,1,0.995,0.87053,0.60644,2.89831,0.9014,0.00013186,0.00013186,0.00013186
49,56.4807,0.797,2.50477,0.94997,0.09758,1,0.995,0.87053,0.60644,2.89831,0.9014,9.6224e-05,9.6224e-05,9.6224e-05
50,57.0024,0.68035,2.3057,0.88221,0.09758,1,0.995,0.87053,0.60644,2.89831,0.9014,5.9004e-05,5.9004e-05,5.9004e-05
